,Accuracy,F1,Precision,Recall, NVAJ_detected,NVAJ_total,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,Total_words
Label_1,0.84725944,0.079295154,0.465517241,0.043338684,26,2269,58,623,27,3451,31,596,4105
Label_10,0.852862363,0.168044077,0.59223301,0.097913323,61,2269,103,623,61,3440,42,562,4105
Label_21,0.846772229,0.208805031,0.48255814,0.133226324,80,2269,172,623,83,3393,89,540,4105
Label_22,0.848721072,0.148148148,0.509433962,0.086677368,53,2269,106,623,54,3430,52,569,4105
Label_5,0.845554202,0.050898204,0.377777778,0.027287319,16,2269,45,623,17,3454,28,606,4105
