,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,F1_median,F1_std_dev
Label_1,0.8563218390804598,0.2661051705669195,0.49998925424457336,0.18133333333333335,45.333333333333336,125.0,22.666666666666668,722.3333333333334,22.666666666666668,102.33333333333333,0.2674418604651163,0.016955678119926067
Label_10,0.8689655172413794,0.32555612311121995,0.626253981838064,0.22133333333333335,44.333333333333336,125.0,27.666666666666668,728.3333333333334,16.666666666666668,97.33333333333333,0.3067484662576688,0.03747939328738769
Label_11,0.882375478927203,0.44415218468431045,0.6896521814554601,0.328,59.333333333333336,125.0,41.0,726.6666666666666,18.333333333333332,84.0,0.4408602150537635,0.043656719678346605
Label_12,0.864367816091954,0.3778273173224413,0.5571855596681813,0.28800000000000003,65.0,125.0,36.0,716.0,29.0,89.0,0.3595505617977528,0.034757841742346675
Label_13,0.8616858238773947,0.4084981268079859,0.536633457939394,0.33066666666666666,78.0,125.0,41.333333333333336,708.3333333333334,36.666666666666664,83.66666666666667,0.4343434343434343,0.044765385788639346
Label_14,0.8551724138084292,0.33730062742861766,0.4981145858011529,0.256,65.0,125.0,32.0,712.0,33.0,93.0,0.3451776649746192,0.032014021553652634
Label_15,0.875862068980843,0.4210739116674232,0.6424482069862504,0.31466666666666665,61.666666666666664,125.0,39.333333333333336,722.6666666666666,22.333333333333332,85.66666666666667,0.4180790960451978,0.031145105340460083
Label_16,0.8685823754022989,0.3361342834396726,0.6246031746031746,0.23199999999999998,47.333333333333336,125.0,29.0,726.6666666666666,18.333333333333332,96.0,0.3459459459459459,0.018184318664189278
Label_17,0.8743295019157088,0.39033726463894064,0.644219977553311,0.28,54.333333333333336,125.0,35.0,725.6666666666666,19.333333333333332,90.0,0.3888888888888889,0.022381544606784393
Label_18,0.8643678161072798,0.38362270069587145,0.5523574561403509,0.296,67.0,125.0,37.0,715.0,30.0,88.0,0.3626373626373627,0.048446965168401614
Label_19,0.8643678160153256,0.3508858166922683,0.5604189435336977,0.256,57.0,125.0,32.0,720.0,25.0,93.0,0.3440860215053763,0.046092014810649146
Label_2,0.8666666666360153,0.3354898957379679,0.5901755251366794,0.23466666666666666,49.666666666666664,125.0,29.333333333333332,724.6666666666666,20.333333333333332,95.66666666666667,0.348314607,0.02571714645661964
Label_20,0.871264367816092,0.4105155268994709,0.600016996891997,0.312,65.0,125.0,39.0,719.0,26.0,86.0,0.4126984126984127,0.009611820953777293
Label_21,0.8651340996321838,0.3777142873035341,0.5597738035892323,0.2853333333333333,63.666666666666664,125.0,35.666666666666664,717.0,28.0,89.33333333333333,0.3915343915343915,0.025908333733886776
Label_22,0.8697318008275862,0.38378558947476615,0.5987983140525514,0.2826666666666667,59.0,125.0,35.333333333333336,721.3333333333334,23.666666666666668,89.66666666666667,0.3804347826086957,0.019017035227618502
Label_23,0.8685823754789271,0.445394622733924,0.5722208075149252,0.36800000000000005,81.33333333333333,125.0,46.0,709.6666666666666,35.333333333333336,79.0,0.4464285714285714,0.03038307387190933
Label_24,0.8674329502681992,0.38135935091155243,0.5778295376121463,0.2853333333333334,61.666666666666664,125.0,35.666666666666664,719.0,26.0,89.33333333333333,0.3646408839779005,0.036001561530247646
Label_25,0.8816091954022989,0.4651553807863056,0.6607894420394421,0.36000000000000004,68.0,125.0,45.0,722.0,23.0,80.0,0.4444444444444444,0.043236475562330644
Label_3,0.8689655173026819,0.3319490586932447,0.6206498433971631,0.22666666666666666,45.666666666666664,125.0,28.333333333333332,727.6666666666666,17.333333333333332,96.66666666666667,0.3255813953488372,0.014772227654434244
Label_4,0.8712643678773947,0.38589455609421525,0.614053981095032,0.2826666666666667,57.666666666666664,125.0,35.333333333333336,722.6666666666666,22.333333333333332,89.66666666666667,0.3825136612021858,0.031399972766578105
Label_5,0.8674329501915709,0.39136129975476325,0.5779664100681962,0.296,64.33333333333333,125.0,37.0,717.6666666666666,27.333333333333332,88.0,0.3894736842105262,0.04858261814969612
Label_6,0.8697318007662834,0.3574225926423802,0.6121749408983451,0.25333333333333335,51.666666666666664,125.0,31.666666666666668,725.0,20.0,93.33333333333333,0.3699421965317919,0.05002627683128117
Label_7,0.8750957855019156,0.3628272866032641,0.6783068783068783,0.248,45.666666666666664,125.0,31.0,730.3333333333334,14.666666666666666,94.0,0.3473053892215569,0.0323380407084346
Label_8,0.8701149425900384,0.43511863281898117,0.5775978090766823,0.34933333333333333,75.33333333333333,125.0,43.666666666666664,713.3333333333334,31.666666666666668,81.33333333333333,0.4399999999999999,0.055288779063443975
Label_9,0.8662835249042146,0.30810961156607375,0.6038868538868539,0.208,43.333333333333336,125.0,26.0,727.6666666666666,17.333333333333332,99.0,0.3233532934131737,0.030230636315928563
