,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,F1_median,F1_std_dev
Label_1,0.8624521072796935,0.3135024665257224,0.5540703657349465,0.21866666666666668,49.333333333333336,125,27.333333333333332,723,22,97.66666666666667,0.3181818181818182,0.009722063
Label_2,0.8708812260689655,0.3674929434270196,0.6198717948717949,0.26133333333333336,52.666666666666664,125,32.666666666666664,725,20,92.33333333333333,0.3728813559322034,0.022432338335065003
Label_3,0.8666666667279693,0.3507820634800351,0.5853660650820894,0.25066666666666665,53.666666666666664,125,31.333333333333332,722.6666666666666,22.333333333333332,93.66666666666667,0.3497267759562841,0.012360488731650023
Label_4,0.871264368,0.3753545114938735,0.6247710622710623,0.26933333333333337,54.333333333333336,125,33.666666666666664,724.3333333333334,20.666666666666668,91.33333333333333,0.3815028901734104,0.011950218
Label_5,0.862835249,0.3784659662311907,0.5426240426240426,0.29066666666666663,67,125,36.333333333333336,714.3333333333334,30.666666666666668,88.66666666666667,0.3789473684210526,0.001328999
Label_6,0.857088123,0.33488764342849686,0.5048674489352455,0.25066666666666665,62,125,31.333333333333332,714.3333333333334,30.666666666666668,93.66666666666667,0.3315508021390374,0.021533458567554103
Label_7,0.8678160918927204,0.3527788877788877,0.5966769865841073,0.25066666666666665,52.666666666666664,125,31.333333333333332,723.6666666666666,21.333333333333332,93.66666666666667,0.3516483516483516,0.023818832201886884
Label_8,0.8486590038314176,0.34035421064977717,0.4550210665703623,0.272,74.66666666666667,125,34,704.3333333333334,40.666666666666664,91,0.33,0.021010331
Label_9,0.8651340996015326,0.3478470006234779,0.5686893515840884,0.25066666666666665,55,125,31.333333333333332,721.3333333333334,23.666666666666668,93.66666666666667,0.3425414364640884,0.034423626
Label_10,0.8586206897164751,0.37037314097426305,0.5114387464387464,0.2906666666666667,70.66666666666667,125,36.333333333333336,710.6666666666666,34.333333333333336,88.66666666666667,0.3553299492385787,0.063456969
Label_11,0.8766283524904215,0.4123268036311514,0.6528892852374863,0.3013333333333333,57.666666666666664,125,37.666666666666664,725,20,87.33333333333333,0.4065934065934065,0.020208587
Label_12,0.8651340996015326,0.33804169073649487,0.5729096520763187,0.24,52.333333333333336,125,30,722.6666666666666,22.333333333333332,95,0.3444444444444444,0.023368963
Label_13,0.8494252873563218,0.3962469646680173,0.46828712675158685,0.34400000000000003,92,125,43,696,49,82,0.3963963963963963,0.003829938
Label_14,0.8689655171647509,0.34747889513242525,0.6215467747382641,0.24266666666666667,49.666666666666664,125,30.333333333333332,725.6666666666666,19.333333333333332,94.66666666666667,0.3459459459459459,0.011115630147024186
Label_15,0.8593869731034482,0.3546281142025822,0.520192558,0.26933333333333337,64.66666666666667,125,33.666666666666664,714,31,91.33333333333333,0.35106383,0.02328245
Label_16,0.8674329501609196,0.35914690677772515,0.5883874966134853,0.25866666666666666,55,125,32.333333333333336,722.3333333333334,22.666666666666668,92.66666666666667,0.358695652,0.031691328
Label_17,0.8639846743295019,0.3761069340016709,0.5516025641025641,0.2853333333333333,64.66666666666667,125,35.666666666666664,716,29,89.33333333333333,0.3809523809523809,0.026648255904230908
Label_18,0.8547892720306512,0.37963231278016035,0.4912907064805799,0.30933333333333335,78.66666666666667,125,38.666666666666664,705,40,86.33333333333333,0.392156863,0.039897353
Label_19,0.8689655172413793,0.36148734985944286,0.6033345775786985,0.25866666666666666,53.666666666666664,125,32.333333333333336,723.6666666666666,21.333333333333332,92.66666666666667,0.3736263736263736,0.021025405918610164
Label_20,0.8643678160613026,0.3874360446378213,0.5521351575456053,0.29866666666666664,67.66666666666667,125,37.333333333333336,714.6666666666666,30.333333333333332,87.66666666666667,0.3854166666666666,0.007694722
Label_21,0.7965517241379311,0.3286701476133214,0.34002106580640606,0.3413333333333333,137.33333333333334,125,42.666666666666664,650.3333333333334,94.66666666666667,82.33333333333333,0.3420074349442379,0.027116192
Label_22,0.8666666666666667,0.34819222617347884,0.5851078167115903,0.248,53,125,31,723,22,94,0.3428571428571428,0.014535009381858637
Label_23,0.8609195401992338,0.41554243133164853,0.5250559983330728,0.34400000000000003,82,125,43,706,39,82,0.4174757281553398,0.007190487
Label_24,0.8643678161532566,0.36980541084440977,0.555394135,0.2773333333333334,62.333333333333336,125,34.666666666666664,717.3333333333334,27.666666666666668,90.33333333333333,0.35106383,0.035302476107465244
Label_25,0.872796935,0.43729638931034504,0.6005509941851602,0.34400000000000003,71.66666666666667,125,43,716.3333333333334,28.666666666666668,82,0.4352331606217616,0.016315587573303297
