Label_Column,Accuracy,F1,Precision,Recall,Support
label_1,0.8491193087404453,0.9169931414457242,0.8614045682009568,0.9802599433206294,3411.0
label_2,0.8536058491193087,0.919448271684392,0.8638499151168283,0.9827030196423335,3411.0
label_3,0.8541043536058491,0.9193086249482034,0.8676380500240058,0.9775236978403207,3411.0
label_4,0.8490362246593554,0.9164312534754764,0.8655991319017134,0.9736147757255936,3411.0
label_5,0.8521934197407776,0.9188522951584579,0.8615914777357613,0.9842665884882243,3411.0
label_6,0.8498670654702559,0.917672791117795,0.8595949915357431,0.9841688654353562,3411.0
label_7,0.8468760385510136,0.9154703103467856,0.8625774190602943,0.9752760676243525,3411.0
label_8,0.8535227650382188,0.919020346840621,0.8670523707824995,0.9776214208931887,3411.0
label_9,0.8507809903622466,0.917726950779303,0.8637598254233669,0.978891820580475,3411.0
label_10,0.8575938850116317,0.9211668912586691,0.8701037376738826,0.9785986514218704,3411.0
label_11,0.8502824858757062,0.9174751128366737,0.8633136678256478,0.978891820580475,3411.0
label_12,0.8489531405782653,0.9168570680795756,0.8616867814039417,0.9795758819505522,3411.0
label_13,0.8570122964440013,0.9212618229913647,0.8661480123633071,0.9838756962767516,3411.0
label_14,0.8506979062811565,0.9176245244545368,0.8641859363309871,0.9781100361575296,3411.0
label_15,0.8475407111997342,0.9160598061520737,0.8611119907474465,0.9785009283690022,3411.0
label_16,0.8484546360917248,0.9163848641638156,0.8630551661213776,0.9767419134173752,3411.0
label_17,0.8555167829843802,0.9203865568510393,0.8658058634063898,0.9823121274308608,3411.0
label_18,0.8479561316051845,0.9161089530145073,0.8627928757345247,0.9764487442587707,3411.0
label_19,0.8501163177135261,0.9168972213474187,0.8672780584093402,0.9725398221440438,3411.0
label_20,0.8510302426055167,0.9174443013000815,0.8674028630236211,0.9736147757255936,3411.0
label_21,0.8535227650382186,0.9187669860047545,0.8692247516469497,0.9742988370956708,3411.0
label_22,0.8481222997673646,0.9169237125885062,0.8570220348190142,0.9858301573341152,3411.0
label_23,0.8466267863077435,0.9150256774334955,0.8649402839621475,0.9712694224567575,3411.0
label_24,0.8496178132269857,0.9167584600630417,0.8658698883493616,0.9740056679370662,3411.0
label_25,0.848703888334995,0.9162335118407752,0.8655550044302126,0.973223883514121,3411.0
