Label_Column,Accuracy,F1,Precision,Recall,Support
label_19,0.8655172413793103,0.41791044776119407,0.5526315789473685,0.336,125.0
label_12,0.8689655172413793,0.35955056179775285,0.6037735849056604,0.256,125.0
label_18,0.8551724137931035,0.4,0.49411764705882355,0.336,125.0
label_24,0.8655172413793103,0.4,0.5571428571428572,0.312,125.0
label_3,0.8574712643678161,0.3737373737373737,0.5068493150684932,0.296,125.0
label_14,0.8724137931034482,0.3798882681564246,0.6296296296296297,0.272,125.0
label_10,0.8735632183908046,0.3373493975903615,0.6829268292682927,0.224,125.0
label_11,0.8758620689655172,0.425531914893617,0.6349206349206349,0.32,125.0
label_15,0.867816091954023,0.37158469945355194,0.5862068965517241,0.272,125.0
label_8,0.8632183908045977,0.39593908629441626,0.5416666666666666,0.312,125.0
label_1,0.8563218390804598,0.32432432432432434,0.5,0.24,125.0
label_7,0.8620689655172413,0.3684210526315789,0.5384615384615384,0.28,125.0
label_5,0.8655172413793103,0.3675675675675676,0.5666666666666667,0.272,125.0
label_21,0.8563218390804598,0.3523316062176166,0.5,0.272,125.0
label_9,0.8724137931034482,0.3934426229508197,0.6206896551724138,0.288,125.0
label_6,0.8839080459770114,0.42937853107344637,0.7307692307692307,0.304,125.0
label_13,0.8655172413793103,0.4236453201970443,0.5512820512820513,0.344,125.0
label_25,0.8735632183908046,0.45544554455445546,0.5974025974025974,0.368,125.0
label_17,0.8620689655172413,0.3814432989690722,0.5362318840579711,0.296,125.0
label_16,0.871264367816092,0.3978494623655914,0.6065573770491803,0.296,125.0
label_23,0.8701149425287357,0.43781094527363185,0.5789473684210527,0.352,125.0
label_4,0.8597701149425288,0.39603960396039606,0.5194805194805194,0.32,125.0
label_22,0.864367816091954,0.41,0.5466666666666666,0.328,125.0
label_20,0.8689655172413793,0.3870967741935483,0.5901639344262295,0.288,125.0
label_2,0.8747126436781609,0.3910614525139665,0.6481481481481481,0.28,125.0
