Label_Column,Accuracy,F1,Precision,Recall,Support
label_19,0.8689655172413793,0.3372093023255814,0.6170212765957447,0.232,125.0
label_12,0.8632183908045977,0.31213872832369943,0.5625,0.216,125.0
label_18,0.8574712643678161,0.392156862745098,0.5063291139240507,0.32,125.0
label_24,0.8597701149425288,0.35106382978723405,0.5238095238095238,0.264,125.0
label_3,0.871264367816092,0.36363636363636365,0.6274509803921569,0.256,125.0
label_14,0.860919540229885,0.34594594594594597,0.5333333333333333,0.256,125.0
label_10,0.871264367816092,0.43999999999999995,0.5866666666666667,0.352,125.0
label_11,0.8735632183908046,0.3956043956043956,0.631578947368421,0.288,125.0
label_15,0.860919540229885,0.37948717948717947,0.5285714285714286,0.296,125.0
label_8,0.8517241379310345,0.3645320197044335,0.47435897435897434,0.296,125.0
label_1,0.8620689655172413,0.3023255813953489,0.5531914893617021,0.208,125.0
label_7,0.864367816091954,0.32954545454545453,0.5686274509803921,0.232,125.0
label_5,0.860919540229885,0.37948717948717947,0.5285714285714286,0.296,125.0
label_9,0.871264367816092,0.3846153846153847,0.6140350877192983,0.28,125.0
label_6,0.8551724137931035,0.31521739130434784,0.4915254237288136,0.232,125.0
label_13,0.8482758620689655,0.4,0.4631578947368421,0.352,125.0
label_25,0.8758620689655172,0.45454545454545453,0.6164383561643836,0.36,125.0
label_17,0.8689655172413793,0.4,0.5846153846153846,0.304,125.0
label_16,0.8632183908045977,0.3276836158192091,0.5576923076923077,0.232,125.0
label_23,0.8620689655172413,0.4174757281553398,0.5308641975308642,0.344,125.0
label_4,0.8770114942528736,0.3815028901734104,0.6875,0.264,125.0
label_22,0.864367816091954,0.33707865168539325,0.5660377358490566,0.24,125.0
label_20,0.8632183908045977,0.39593908629441626,0.5416666666666666,0.312,125.0
label_21,0.7448275862068966,0.2974683544303798,0.24607329842931938,0.376,125.0
label_2,0.8724137931034482,0.3728813559322034,0.6346153846153846,0.264,125.0
