Prompt_Column,Accuracy,F1,Precision,Recall,Support
prompt_1,0.8490362246593554,0.1870568741013514,0.485153191,0.11591791458679979,601
prompt_2,0.8486208042539048,0.18646542823988552,0.48034560500594853,0.11591791458679979,601
prompt_3,0.8468760385510136,0.1840416768248785,0.46167354803192956,0.11591791458679979,601
prompt_4,0.8477899634430043,0.21195754917090567,0.4729270577215783,0.13754853022739877,601
prompt_5,0.8463775340644731,0.15920970699655757,0.44578993345859247,0.099833611,601
prompt_6,0.8469591226321037,0.1808277290385116,0.455642219,0.11369938990571271,601
prompt_7,0.8212030574941841,0.19869137975760354,0.351034177,0.1497504159733777,601
prompt_8,0.8474576271186441,0.21767004124484438,0.4706648148183678,0.14309484193011648,601
prompt_9,0.8482053838484546,0.1649199264615143,0.47080512760659826,0.10038824181919025,601
prompt_10,0.850116318,0.1807250986951685,0.49906448891956146,0.11037160288408208,601
prompt_11,0.8464606181455633,0.1853845666095999,0.45194410461354434,0.11702717692734332,601
prompt_12,0.847374543,0.1660832048479296,0.45739951,0.10149750415973378,601
prompt_13,0.8444666001994019,0.17354214028975243,0.4342083299425063,0.11369938990571271,601
prompt_14,0.8483715520106347,0.1970826125712948,0.4771138072311274,0.12423738214087632,601
prompt_15,0.8471252907942839,0.196346518,0.45900736870129455,0.12534664448141986,601
prompt_16,0.8485377201728149,0.18141577731323577,0.47762697504615637,0.11203549639489739,601
prompt_17,0.8493685609837155,0.2151196553440502,0.4945120473640618,0.1386577925679423,601
prompt_18,0.8470422067131937,0.20924517470293982,0.4621083408389967,0.13588463671658346,601
prompt_19,0.8256065137919575,0.23615474460970007,0.414215304,0.18025513,601
prompt_20,0.8488700564971752,0.23746534129959454,0.4877348747416333,0.15751525235718247,601
prompt_21,0.8470422067131937,0.263505482,0.47599918599918595,0.18302828618968384,601
prompt_22,0.8452143569292123,0.16259667603167965,0.4289434523809524,0.10038824181919025,601
prompt_23,0.8455466932535726,0.24266305918815365,0.460415621,0.16583472,601
prompt_24,0.8469591226321036,0.22732852528667044,0.46637467314286263,0.15030504714364948,601
prompt_25,0.8451312728481223,0.2438981539118945,0.4547591241303208,0.1674986134220743,601
