,Accuracy,F1,Precision,Recall, NVAJ_detected,NVAJ_total,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,Total_words
Label_1,0.8412162162162162,0.096153846,0.5303030303030303,0.052870090634441085,34,2304,66,662,35,3451,31,627,4144
Label_10,0.834942085,0.18571428571428572,0.43820224719101125,0.11782477341389729,76,2304,178,662,78,3382,100,584,4144
Label_21,0.8416988416988417,0.2038834951456311,0.5185185185185185,0.1268882175226586,81,2304,162,662,84,3404,78,578,4144
Label_22,0.8429054054054054,0.16,0.5486725663716814,0.093655589,61,2304,113,662,62,3431,51,600,4144
Label_5,0.8397683397683398,0.08033241,0.48333333333333334,0.043806647,28,2304,60,662,29,3451,31,633,4144
