,Accuracy,F1,Precision,Recall, NVAJ_detected,NVAJ_total,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,Total_words
Label_1,0.834700772,0.10923277,0.392523364,0.063444109,40,2304,107,662,42,3417,65,620,4144
Label_10,0.838320463,0.149746193,0.468253968,0.089123867,58,2304,126,662,59,3415,67,603,4144
Label_21,0.842905405,0.220359281,0.531791908,0.13897281,88,2304,173,662,92,3401,81,570,4144
Label_22,0.840974903,0.16687737,0.511627907,0.099697885,65,2304,129,662,66,3419,63,596,4144
Label_5,0.835907336,0.071038251,0.371428571,0.039274924,25,2304,70,662,26,3438,44,636,4144
