,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
PR,193,192,192,192,192,193,177,190,193,191,190,191,190,193,192,193,192,191,190,193,191,191,191,193,191
V,147,143,127,104,123,137,124,114,140,150,130,140,108,139,142,146,120,119,128,122,111,150,120,138,102
N,101,104,104,88,107,111,90,101,105,105,100,97,102,99,100,107,96,93,91,93,92,107,96,99,104
AJ,46,49,49,39,45,47,38,50,47,54,48,45,46,40,47,47,44,39,41,47,42,45,42,44,45
DT,25,26,26,26,26,26,23,26,26,26,26,26,26,26,26,26,26,26,26,25,25,26,26,26,26
AV,22,22,22,14,23,23,20,19,23,24,22,24,22,22,21,24,19,16,20,19,17,23,20,21,19
OR,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
