,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
V,35.0,20.0,28.0,62.0,42.0,25.0,32.0,48.0,21.0,16.0,27.0,23.0,58.0,24.0,26.0,25.0,41.0,53.0,36,46.0,39.0,19.0,42.0,40.0,44.0
N,28.0,21.0,28.0,28.0,12.0,14.0,31.0,25.0,14.0,6.0,20.0,34.0,13.0,23.0,28.0,19.0,26.0,32.0,45,30.0,41.0,20.0,24.0,39.0,17.0
AJ,25.0,9.0,22.0,19.0,8.0,13.0,18.0,13.0,6.0,5.0,15.0,19.0,14.0,20.0,21.0,20.0,18.0,20.0,26,13.0,13.0,23.0,19.0,30.0,25.0
AV,6.0,8.0,4.0,6.0,5.0,5.0,10.0,7.0,4.0,3.0,6.0,12.0,11.0,9.0,8.0,5.0,8.0,8.0,8,9.0,8.0,5.0,10.0,9.0,5.0
PR,3.0,3.0,3.0,3.0,7.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3,4.0,2.0,3.0,2.0,3.0,2.0
CJ,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,1.0,4.0,3.0,0.0,0.0,0.0
PN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.0,1.0,0.0,0.0,0.0
OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,1.0,0.0,1.0,0.0,0.0
CR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0
