,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
N,21.0,15.0,22.0,40.0,15.0,18.0,134,18.0,18.0,11.0,28.0,30.0,21.0,30.0,24.0,16.0,35.0,26.0,47.0,31.0,38.0,22.0,22.0,30.0,20.0
V,20.0,22.0,34.0,54.0,41.0,23.0,78,52.0,24.0,16.0,35.0,23.0,63.0,27.0,25.0,24.0,43.0,48.0,34.0,44.0,43.0,19.0,46.0,30.0,54.0
AJ,17.0,5.0,13.0,20.0,11.0,13.0,56,15.0,13.0,8.0,7.0,19.0,26.0,28.0,18.0,9.0,21.0,34.0,22.0,18.0,17.0,17.0,34.0,25.0,28.0
AV,6.0,8.0,6.0,10.0,3.0,3.0,34,6.0,7.0,5.0,7.0,6.0,6.0,8.0,6.0,7.0,9.0,9.0,9.0,6.0,9.0,7.0,7.0,5.0,9.0
CJ,2.0,0.0,0.0,0.0,0.0,0.0,28,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0
PR,2.0,1.0,3.0,2.0,4.0,2.0,21,2.0,6.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0
PN,1.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
OR,0.0,1.0,0.0,0.0,1.0,0.0,1,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
AT,0.0,0.0,1.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
XX,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DT,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
EX,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZZ,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
