,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative
Label_1,0.8551724137931035,0.2674418604651163,0.48936170212765956,0.184,47,125,23,721,24,102
Label_10,0.8701149425287357,0.3067484662576688,0.6578947368421053,0.2,38,125,25,732,13,100
Label_11,0.8804597701149425,0.4408602150537635,0.6721311475409836,0.328,61,125,41,725,20,84
Label_12,0.8655172413793103,0.41791044776119407,0.5526315789473685,0.336,76,125,42,711,34,83
Label_13,0.871264368,0.4343434343434343,0.589041096,0.344,73,125,43,715,30,82
Label_14,0.867816092,0.36464088397790057,0.5892857142857143,0.264,56,125,33,722,23,92
Label_15,0.867816092,0.3915343915343915,0.578125,0.296,64,125,37,718,27,88
Label_16,0.86091954,0.34594594594594597,0.5333333333333333,0.256,60,125,32,717,28,93
Label_17,0.8793103448275862,0.4134078212290503,0.6851851851851852,0.296,54,125,37,728,17,88
Label_18,0.867816092,0.43902439024390244,0.5625,0.36,80,125,45,710,35,80
Label_19,0.8724137931034482,0.39999999999999997,0.6166666666666667,0.296,60,125,37,722,23,88
Label_2,0.8666666666666667,0.348314607,0.5849056603773585,0.248,53,125,31,723,22,94
Label_20,0.8724137931034482,0.4126984126984127,0.609375,0.312,64,125,39,720,25,86
Label_21,0.8655172413793103,0.3937823834196891,0.5588235294117647,0.304,68,125,38,715,30,87
Label_22,0.871264368,0.40425531914893614,0.6031746031746031,0.304,63,125,38,720,25,87
Label_23,0.8574712643678161,0.44642857142857145,0.5050505050505051,0.4,99,125,50,696,49,75
Label_24,0.871264368,0.422680412,0.5942028985507246,0.328,69,125,41,717,28,84
Label_25,0.8873563218390804,0.5148514851485149,0.6753246753246753,0.416,77,125,52,720,25,73
Label_3,0.8666666666666667,0.3255813953488372,0.5957446808510638,0.224,47,125,28,726,19,97
Label_4,0.8724137931034482,0.418848168,0.6060606060606061,0.32,66,125,40,719,26,85
Label_5,0.8666666666666667,0.38947368421052625,0.5692307692307692,0.296,65,125,37,717,28,88
Label_6,0.8724137931034482,0.39999999999999997,0.6166666666666667,0.296,60,125,37,722,23,88
Label_7,0.8747126436781609,0.3473053892215569,0.6904761904761905,0.232,42,125,29,732,13,96
Label_8,0.8793103448275862,0.48780487804878053,0.625,0.4,80,125,50,715,30,75
Label_9,0.8701149425287357,0.3233532934131737,0.6428571428571429,0.216,42,125,27,730,15,98
