,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative
Label_1,0.8597701149425288,0.2823529411764706,0.5333333333333333,0.192,45,125,24,724,21,101
Label_2,0.8689655172413793,0.3522727272727273,0.6078431372549019,0.248,51,125,31,725,20,94
Label_3,0.871264368,0.3488372093023256,0.6382978723404256,0.24,47,125,30,728,17,95
Label_4,0.8701149425287357,0.3825136612021858,0.603448276,0.28,58,125,35,722,23,90
Label_5,0.8804597701149425,0.4408602150537635,0.6721311475409836,0.328,61,125,41,725,20,84
Label_6,0.8747126436781609,0.3699421965317919,0.6666666666666666,0.256,48,125,32,729,16,93
Label_7,0.871264368,0.3411764705882353,0.6444444444444445,0.232,45,125,29,729,16,96
Label_8,0.871264368,0.43999999999999995,0.5866666666666667,0.352,75,125,44,714,31,81
Label_9,0.8632183908045977,0.3276836158192091,0.5576923076923077,0.232,52,125,29,722,23,96
Label_10,0.8701149425287357,0.3687150837988827,0.6111111111111112,0.264,54,125,33,724,21,92
Label_11,0.8896551724137931,0.4893617021276595,0.7301587301587301,0.368,63,125,46,728,17,79
Label_12,0.8689655172413793,0.35955056179775285,0.6037735849056604,0.256,53,125,32,724,21,93
Label_13,0.871264368,0.4343434343434343,0.589041096,0.344,73,125,43,715,30,82
Label_14,0.8517241379310345,0.34517766497461927,0.4722222222222222,0.272,72,125,34,707,38,91
Label_15,0.8781609195402299,0.45360824742268036,0.6376811594202898,0.352,69,125,44,720,25,81
Label_16,0.8747126436781609,0.3473053892215569,0.6904761904761905,0.232,42,125,29,732,13,96
Label_17,0.8735632183908046,0.3888888888888889,0.6363636363636364,0.28,55,125,35,725,20,90
Label_18,0.8666666666666667,0.3626373626373627,0.5789473684210527,0.264,57,125,33,721,24,92
Label_19,0.8597701149425288,0.34408602150537637,0.5245901639344263,0.256,61,125,32,716,29,93
Label_20,0.8689655172413793,0.4,0.5846153846153846,0.304,65,125,38,718,27,87
Label_21,0.867816092,0.3915343915343915,0.578125,0.296,64,125,37,718,27,88
Label_22,0.8689655172413793,0.3804347826086957,0.5932203389830508,0.28,59,125,35,721,24,90
Label_23,0.8781609195402299,0.4752475247524752,0.6233766233766234,0.384,77,125,48,716,29,77
Label_24,0.8632183908045977,0.3567567567567568,0.55,0.264,60,125,33,718,27,92
Label_25,0.8793103448275862,0.4444444444444444,0.65625,0.336,64,125,42,723,22,83
