,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative
Label_1,0.8620689655172413,0.3181818181818182,0.5490196078431373,0.224,51,125,28,722,23,97
Label_2,0.8724137931034482,0.3867403314917127,0.625,0.28,56,125,35,724,21,90
Label_3,0.8632183908045977,0.34972677595628415,0.5517241379310345,0.256,58,125,32,719,26,93
Label_4,0.8666666666666667,0.3829787234042553,0.5714285714285714,0.288,63,125,36,718,27,89
Label_5,0.8632183908045977,0.37696335078534027,0.5454545454545454,0.288,66,125,36,715,30,89
Label_6,0.8597701149425288,0.3578947368421053,0.5230769230769231,0.272,65,125,34,714,31,91
Label_7,0.8747126436781609,0.3771428571428571,0.66,0.264,50,125,33,728,17,92
Label_8,0.8459770114942529,0.33,0.44,0.264,75,125,33,703,42,92
Label_9,0.86091954,0.3163841807909605,0.5384615384615384,0.224,52,125,28,721,24,97
Label_10,0.8505747126436781,0.3157894736842105,0.46153846153846156,0.24,65,125,30,710,35,95
Label_11,0.8804597701149425,0.43478260869565216,0.6779661016949152,0.32,59,125,40,726,19,85
Label_12,0.867816092,0.3575418994413408,0.5925925925925926,0.256,54,125,32,723,22,93
Label_13,0.8459770114942529,0.39639639639639634,0.4536082474226804,0.352,97,125,44,692,53,81
Label_14,0.8770114942528736,0.3592814371257485,0.7142857142857143,0.24,42,125,30,733,12,95
Label_15,0.8597701149425288,0.35106382978723405,0.5238095238095238,0.264,63,125,33,715,30,92
Label_16,0.8747126436781609,0.3910614525139665,0.6481481481481481,0.28,54,125,35,726,19,90
Label_17,0.8655172413793103,0.3809523809523809,0.5625,0.288,64,125,36,717,28,89
Label_18,0.8448275862068966,0.3349753694581281,0.4358974358974359,0.272,78,125,34,701,44,91
Label_19,0.8689655172413793,0.37362637362637363,0.5964912280701754,0.272,57,125,34,722,23,91
Label_20,0.864367816,0.38541666666666663,0.5522388059701493,0.296,67,125,37,715,30,88
Label_21,0.8482758620689655,0.34653465346534656,0.45454545454545453,0.28,77,125,35,703,42,90
Label_22,0.867816092,0.36464088397790057,0.5892857142857143,0.264,56,125,33,722,23,92
Label_23,0.8563218390804598,0.4075829383886256,0.5,0.344,86,125,43,702,43,82
Label_24,0.8620689655172413,0.34782608695652173,0.5423728813559322,0.256,59,125,32,718,27,93
Label_25,0.8747126436781609,0.43523316062176165,0.6176470588235294,0.336,68,125,42,719,26,83
