Label_Column,Accuracy,F1,Precision,Recall,Support
label_1,0.8501994017946162,0.19328859060402684,0.5,0.11980033277870217,601.0
label_2,0.8531904287138584,0.18758620689655173,0.5483870967741935,0.11314475873544093,601.0
label_3,0.8521934197407777,0.22886866059817948,0.5238095238095238,0.1464226289517471,601.0
label_4,0.847457627118644,0.22335025380710663,0.47058823529411764,0.1464226289517471,601.0
label_5,0.8519441674975075,0.1772853185595568,0.5289256198347108,0.1064891846921797,601.0
label_6,0.8489531405782652,0.15363128491620112,0.4782608695652174,0.09151414309484193,601.0
label_7,0.8454636091724825,0.17333333333333337,0.436241610738255,0.10815307820299501,601.0
label_8,0.8531904287138584,0.24776500638569604,0.532967032967033,0.16139767054908485,601.0
label_9,0.8504486540378864,0.19999999999999998,0.5033557046979866,0.12479201331114809,601.0
label_10,0.8574277168494516,0.2552083333333333,0.5868263473053892,0.16306156405990016,601.0
label_11,0.8509471585244267,0.18528610354223432,0.5112781954887218,0.11314475873544093,601.0
label_12,0.8514456630109671,0.18801089918256128,0.518796992481203,0.11480865224625623,601.0
label_13,0.8609172482552343,0.2540106951871658,0.6462585034013606,0.15806988352745424,601.0
label_14,0.8492023928215354,0.20707732634338136,0.4876543209876543,0.1314475873544093,601.0
label_15,0.8467098703888335,0.16326530612244897,0.44776119402985076,0.09983361064891846,601.0
label_16,0.8504486540378864,0.21465968586387432,0.5030674846625767,0.13643926788685523,601.0
label_17,0.8546859421734796,0.21109607577807848,0.5652173913043478,0.129783693843594,601.0
label_18,0.8489531405782652,0.1984126984126984,0.4838709677419355,0.12479201331114809,601.0
label_19,0.8489531405782652,0.22307692307692312,0.4860335195530726,0.1447587354409318,601.0
label_20,0.8479561316051845,0.2317380352644836,0.47668393782383417,0.15307820299500832,601.0
label_21,0.8531904287138584,0.24776500638569604,0.532967032967033,0.16139767054908485,601.0
label_22,0.8492023928215354,0.10898379970544918,0.47435897435897434,0.06156405990016639,601.0
label_23,0.8492023928215354,0.2312579415501906,0.489247311827957,0.15141430948419302,601.0
label_24,0.8531904287138584,0.23605706874189367,0.5352941176470588,0.15141430948419302,601.0
label_25,0.8489531405782652,0.23677581863979846,0.48704663212435234,0.15640599001663893,601.0
