,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
AJ,29.0,15.0,24.0,31.0,18.0,24.0,25.0,21.0,20.0,3.0,19.0,22.0,10.0,24.0,21.0,27.0,13.0,26.0,23.0,28.0,21.0,14.0,31.0,24.0,33.0
N,23.0,18.0,18.0,26.0,12.0,19.0,29.0,21.0,15.0,3.0,23.0,20.0,11.0,30.0,21.0,25.0,21.0,25.0,36.0,27.0,30.0,15.0,28.0,23.0,29.0
V,16.0,14.0,20.0,25.0,10.0,13.0,20.0,23.0,18.0,10.0,19.0,12.0,2.0,21.0,18.0,18.0,18.0,20.0,25.0,28.0,30.0,9.0,21.0,22.0,22.0
AV,4.0,6.0,8.0,11.0,6.0,4.0,8.0,9.0,12.0,6.0,5.0,9.0,10.0,9.0,8.0,5.0,7.0,7.0,11.0,9.0,9.0,2.0,8.0,7.0,10.0
PR,1.0,6.0,10.0,10.0,11.0,0.0,3.0,14.0,12.0,36.0,2.0,3.0,18.0,5.0,9.0,8.0,3.0,4.0,6.0,13.0,4.0,1.0,11.0,7.0,8.0
CJ,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
PN,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
OR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
