,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
AJ,26.0,22.0,16.0,25.0,15.0,24.0,18.0,20.0,21.0,3.0,23.0,32.0,11.0,21.0,27.0,32.0,17.0,28.0,25.0,18.0,16.0,16.0,34.0,27.0,29.0
N,25.0,24.0,26.0,26.0,16.0,16.0,28.0,13.0,16.0,11.0,22.0,28.0,13.0,22.0,23.0,23.0,17.0,24.0,35.0,27.0,30.0,20.0,31.0,29.0,29.0
V,16.0,14.0,16.0,17.0,7.0,7.0,18.0,20.0,23.0,23.0,21.0,10.0,4.0,16.0,22.0,17.0,16.0,21.0,29.0,22.0,26.0,13.0,28.0,34.0,28.0
PR,5.0,3.0,4.0,4.0,10.0,1.0,10.0,8.0,11.0,25.0,2.0,1.0,14.0,3.0,9.0,1.0,4.0,2.0,4.0,10.0,16.0,0.0,4.0,4.0,4.0
AV,5.0,6.0,10.0,6.0,4.0,4.0,7.0,9.0,10.0,8.0,5.0,4.0,3.0,7.0,7.0,6.0,6.0,9.0,11.0,7.0,11.0,2.0,6.0,8.0,4.0
OR,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
CJ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
DT,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
TO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
