,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,Total_words
Label_5,0.840733591,0.078212291,0.518518519,0.042296073,54,662,28,3456,26,634,4144
Label_22,0.836148649,0.218642117,0.458937198,0.143504532,207,662,95,3370,112,567,4144
Label_10,0.844111969,0.134048257,0.595238095,0.075528701,84,662,50,3448,34,612,4144
Label_21,0.846042471,0.254672897,0.56185567,0.164652568,194,662,109,3397,85,553,4144
Label_1,0.845801158,0.160315375,0.616161616,0.092145015,99,662,61,3444,38,601,4144
