,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative
Label_1,0.8501994017946162,0.19328859060402684,0.5,0.11980033277870217,144,601,72,3339,72,529
Label_2,0.8531904287138584,0.18758620689655173,0.5483870967741935,0.11314475873544093,124,601,68,3355,56,533
Label_3,0.8521934197407777,0.22886866059817948,0.5238095238095238,0.1464226289517471,168,601,88,3331,80,513
Label_4,0.847457627118644,0.22335025380710663,0.47058823529411764,0.1464226289517471,187,601,88,3312,99,513
Label_5,0.8519441674975075,0.1772853185595568,0.5289256198347108,0.1064891846921797,121,601,64,3354,57,537
Label_6,0.8489531405782652,0.15363128491620112,0.4782608695652174,0.09151414309484193,115,601,55,3351,60,546
Label_7,0.8454636091724825,0.17333333333333337,0.436241610738255,0.10815307820299501,149,601,65,3327,84,536
Label_8,0.8531904287138584,0.24776500638569604,0.532967032967033,0.16139767054908485,182,601,97,3326,85,504
Label_9,0.8504486540378864,0.19999999999999998,0.5033557046979866,0.12479201331114809,149,601,75,3337,74,526
Label_10,0.8574277168494516,0.2552083333333333,0.5868263473053892,0.16306156405990016,167,601,98,3342,69,503
Label_11,0.8509471585244267,0.18528610354223432,0.5112781954887218,0.11314475873544093,133,601,68,3346,65,533
Label_12,0.8514456630109671,0.18801089918256128,0.518796992481203,0.11480865224625623,133,601,69,3347,64,532
Label_13,0.8609172482552343,0.2540106951871658,0.6462585034013606,0.15806988352745424,147,601,95,3359,52,506
Label_14,0.8492023928215354,0.20707732634338136,0.4876543209876543,0.1314475873544093,162,601,79,3328,83,522
Label_15,0.8467098703888335,0.16326530612244897,0.44776119402985076,0.09983361064891846,134,601,60,3337,74,541
Label_16,0.8504486540378864,0.21465968586387432,0.5030674846625767,0.13643926788685523,163,601,82,3330,81,519
Label_17,0.8546859421734796,0.21109607577807848,0.5652173913043478,0.129783693843594,138,601,78,3351,60,523
Label_18,0.8489531405782652,0.1984126984126984,0.4838709677419355,0.12479201331114809,155,601,75,3331,80,526
Label_19,0.8489531405782652,0.22307692307692312,0.4860335195530726,0.1447587354409318,179,601,87,3319,92,514
Label_20,0.8479561316051845,0.2317380352644836,0.47668393782383417,0.15307820299500832,193,601,92,3310,101,509
Label_21,0.8531904287138584,0.24776500638569604,0.532967032967033,0.16139767054908485,182,601,97,3326,85,504
Label_22,0.8492023928215354,0.10898379970544918,0.47435897435897434,0.06156405990016639,78,601,37,3370,41,564
Label_23,0.8492023928215354,0.2312579415501906,0.489247311827957,0.15141430948419302,186,601,91,3316,95,510
Label_24,0.8531904287138584,0.23605706874189367,0.5352941176470588,0.15141430948419302,170,601,91,3332,79,510
Label_25,0.8489531405782652,0.23677581863979846,0.48704663212435234,0.15640599001663893,193,601,94,3312,99,507
