,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative
Label_1,0.8505747126436781,0.35000000000000003,0.4666666666666667,0.28,75,125,35,705,40,90
Label_2,0.8724137931034482,0.3728813559322034,0.6346153846153846,0.264,52,125,33,726,19,92
Label_3,0.8563218390804598,0.358974359,0.5,0.28,70,125,35,710,35,90
Label_4,0.8597701149425288,0.37755102040816324,0.5211267605633803,0.296,71,125,37,711,34,88
Label_5,0.8597701149425288,0.36458333333333337,0.5223880597014925,0.28,67,125,35,713,32,90
Label_6,0.867816092,0.3274853801169591,0.6086956521739131,0.224,46,125,28,727,18,97
Label_7,0.8666666666666667,0.3829787234042553,0.5714285714285714,0.288,63,125,36,718,27,89
Label_8,0.86091954,0.43192488262910794,0.5227272727272727,0.368,88,125,46,703,42,79
Label_9,0.8655172413793103,0.3743315508021391,0.5645161290322581,0.28,62,125,35,718,27,90
Label_10,0.867816092,0.30303030303030304,0.625,0.2,40,125,25,730,15,100
Label_11,0.867816092,0.41025641025641024,0.5714285714285714,0.32,70,125,40,715,30,85
Label_12,0.86091954,0.3163841807909605,0.5384615384615384,0.224,52,125,28,721,24,97
Label_13,0.8448275862068966,0.3147208121827411,0.4305555555555556,0.248,72,125,31,704,41,94
Label_14,0.8758620689655172,0.3863636363636364,0.6666666666666666,0.272,51,125,34,728,17,91
Label_15,0.867816092,0.41025641025641024,0.5714285714285714,0.32,70,125,40,715,30,85
Label_16,0.8724137931034482,0.3657142857142857,0.64,0.256,50,125,32,727,18,93
Label_17,0.8563218390804598,0.358974359,0.5,0.28,70,125,35,710,35,90
Label_18,0.8471264367816091,0.35748792270531404,0.45121951219512196,0.296,82,125,37,700,45,88
Label_19,0.8724137931034482,0.4126984126984127,0.609375,0.312,64,125,39,720,25,86
Label_20,0.8574712643678161,0.3404255319148936,0.5079365079365079,0.256,63,125,32,714,31,93
Label_21,0.8540229885057471,0.3681592039800995,0.4868421052631579,0.296,76,125,37,706,39,88
Label_22,0.8528735632183908,0.3402061855670103,0.4782608695652174,0.264,69,125,33,709,36,92
Label_23,0.8666666666666667,0.42574257425742573,0.5584415584415584,0.344,77,125,43,711,34,82
Label_24,0.8781609195402299,0.4175824175824176,0.6666666666666666,0.304,57,125,38,726,19,87
Label_25,0.8689655172413793,0.4411764705882353,0.569620253,0.36,79,125,45,711,34,80
