,Accuracy,F1,Precision,Recall,Support, NVAJ_detected,NVAJ_total,Detected_num,Total_Num,True_detected_num,True_Nonconv_num,Wrong_detected_num,Wrong_Nonconv_num
Label_10,0.8484774665042631,0.8037270062893404,0.805662290505537,0.8484774665042631,4105.0,65,2269,129,623,65,3418,64,558
Label_22,0.8465286236297198,0.8005610871460161,0.799665494341378,0.8465286236297198,4105.0,58,2269,125,623,59,3416,66,564
Label_21,0.846041412911084,0.8054677926318634,0.8022320375958756,0.846041412911084,4105.0,73,2269,161,623,76,3397,85,547
Label_5,0.8440925700365408,0.7926175036286934,0.7874345173059082,0.8440925700365408,4105.0,39,2269,97,623,40,3425,57,583
Label_1,0.8457978075517661,0.7947097453350824,0.793494649346117,0.8457978075517661,4105.0,41,2269,96,623,43,3429,53,580
