,Accuracy,F1,Precision,Recall,Support, NVAJ_detected,NVAJ_total,Detected_Num,Total_Num
Label_10,0.8472594397076736,0.8026233564359756,0.8024711742065758,0.8472594397076736,4105.0,64,2269,132,623
Label_22,0.8462850182704019,0.7984392433569996,0.797645899397327,0.8462850182704019,4105.0,52,2269,114,623
Label_21,0.8489646772228989,0.8080003427848726,0.8086292634684689,0.8489646772228989,4105.0,75,2269,153,623
Label_5,0.8475030450669915,0.7889794225059913,0.7946380867353323,0.8475030450669915,4105.0,24,2269,53,623
Label_1,0.843361753958587,0.7896493762257987,0.7819466949038776,0.843361753958587,4105.0,28,2269,86,623
