,Accuracy,F1,Precision,Recall,Support,Detected_num,Total_Num,True_detected_num,True_Nonconv_num,Wrong_detected_num,Wrong_Nonconv_num
Label_10,0.8370280146163216,0.8019984149603107,0.7906129040707299,0.8370280146163216,4105.0,216,623,85,3351,131,538
Label_5,0.8501827040194885,0.7924920910878929,0.811684987001958,0.8501827040194885,4105.0,52,623,30,3460,22,593
Label_22,0.8489646772228989,0.8040433439026275,0.8069264137271668,0.8489646772228989,4105.0,127,623,65,3420,62,558
Label_1,0.8104750304506699,0.7811338139043639,0.7615563854941945,0.8104750304506699,4105.0,297,623,71,3256,226,552
Label_21,0.8445797807551766,0.802727332007857,0.798020667164355,0.8445797807551766,4105.0,155,623,70,3397,85,553
