,Accuracy,F1,Precision,Recall,Support,Detected_num,Total_Num,True_detected_num,True_Nonconv_num,Wrong_detected_num,Wrong_Nonconv_num
Label_10,0.8294762484774665,0.7889070915602315,0.7703853140426791,0.8294762484774665,4105.0,189,623,56,3349,133,567
Label_5,0.8506699147381243,0.792381910550889,0.8157329249325812,0.8506699147381243,4105.0,48,623,29,3463,19,594
Label_22,0.8479902557856273,0.7984909950313813,0.8019775005568713,0.8479902557856273,4105.0,101,623,50,3431,51,573
Label_1,0.8521315468940317,0.8003723025085047,0.8181172785801287,0.8521315468940317,4105.0,80,623,48,3450,32,575
Label_21,0.8472594397076736,0.8059807989593406,0.8044966995624425,0.8472594397076736,4105.0,154,623,75,3403,79,548
