Label_Column,Accuracy,F1,Precision,Recall,Support
label_1,0.8517255379618351,0.9191962251420235,0.8546748934450744,0.9942561746122918,3482.0
label_2,0.8521315468940317,0.919285463015632,0.8559653378733895,0.9927244878422363,3482.0
label_3,0.8373528217620788,0.9095781898978123,0.8592179524111058,0.9666858127512924,3482.0
label_4,0.8517255379618351,0.9188086715529074,0.8578552809965124,0.9890867317633544,3482.0
label_5,0.8508323183110029,0.9188714609999208,0.8529153723998792,0.9958835918054758,3482.0
label_6,0.848721071863581,0.9173652685759498,0.8546989449683644,0.9899483055715107,3482.0
label_7,0.848721071863581,0.9162554962802872,0.8636602863498409,0.9756844725253685,3482.0
label_8,0.8497766950872919,0.917505613551811,0.8587645569993189,0.9848745931457016,3482.0
label_9,0.8486398700771417,0.917059420583841,0.8567527873652625,0.9865020103388856,3482.0
label_10,0.8524563540397888,0.9189957784172736,0.8599914794287505,0.9866934711851426,3482.0
label_11,0.8513195290296386,0.918690810903047,0.8567884403071124,0.9902354968408961,3482.0
label_12,0.8499390986601706,0.9178227905623239,0.8570006280920507,0.9879379666858128,3482.0
label_13,0.8492082825822168,0.917922487798113,0.8526152616465182,0.9940647137660349,3482.0
label_14,0.8470970361347949,0.9157415243978164,0.8596998192484153,0.9796094198736358,3482.0
label_15,0.846285018270402,0.9152373697739336,0.8597627088532084,0.9783649243729657,3482.0
label_16,0.8505075111652456,0.9181590201696125,0.8570835399696327,0.988608079647712,3482.0
label_17,0.8507511165245635,0.9177783906661091,0.8614405698184836,0.9820026804518477,3482.0
label_18,0.8496954933008526,0.9179268001460347,0.8549625991559001,0.9909056098027952,3482.0
label_19,0.8486398700771417,0.9163750037432393,0.8622931206772081,0.9776948114110664,3482.0
label_20,0.848477466504263,0.9163301578451174,0.861763950575733,0.9783649243729657,3482.0
label_21,0.8510759236703208,0.9177254056851686,0.8634982810864411,0.979226498181122,3482.0
label_22,0.8344295574502639,0.9077107225297377,0.8592135613798675,0.9626651349798966,3482.0
label_23,0.8457978075517661,0.9142741064386765,0.8650585203627852,0.969461995022018,3482.0
label_24,0.727568006496143,0.8290280470357988,0.861535482495153,0.8091135362818304,3482.0
label_25,0.8435241575314656,0.9129183797229762,0.8645882382222118,0.9669730040206778,3482.0
