,Accuracy,F1,Precision,Recall, NVAJ_detected,NVAJ_total,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,Total_words
Label_1,0.839707674,0.125,0.364341085,0.075441413,44,2269,129,623,47,3400,82,576,4105
Label_10,0.849208283,0.160108548,0.51754386,0.09470305,59,2269,114,623,59,3427,55,564,4105
Label_21,0.847015834,0.182291667,0.482758621,0.112359551,68,2269,145,623,70,3407,75,553,4105
Label_22,0.851887942,0.146067416,0.584269663,0.083467095,51,2269,89,623,52,3445,37,571,4105
Label_5,0.846528624,0.081632653,0.444444444,0.04494382,27,2269,63,623,28,3447,35,595,4105
