,Accuracy,F1,Precision,Recall,Support,Detected_num,Total_Num,True_detected_num,True_Nonconv_num,Wrong_detected_num,Wrong_Nonconv_num
Label_1,0.8411693057247259,0.7894489242956099,0.7779747573611612,0.8411693057247259,4105.0,101,623,36,3417,65,587
Label_21,0.8475030450669915,0.8070239453006294,0.8055317395926757,0.8475030450669915,4105.0,159,623,78,3401,81,545
Label_22,0.846041412911084,0.7989487654853863,0.7975056137047123,0.846041412911084,4105.0,119,623,55,3418,64,568
Label_5,0.8426309378806334,0.7846511306685859,0.7708707546478436,0.8426309378806334,4105.0,65,623,21,3438,44,602
Label_10,0.8450669914738125,0.7980066295694569,0.7948183539565901,0.8450669914738125,4105.0,121,623,54,3415,67,569
