Label_Column,Accuracy,F1,Precision,Recall,Support
label_1,0.8536889332003988,0.9203635870302538,0.8565656565656565,0.9944297859865142,3411.0
label_2,0.8544366899302094,0.9206521739130434,0.8579387186629527,0.9932571093520962,3411.0
label_3,0.8113160518444666,0.8930337713720504,0.861974904528096,0.9264145411902668,3411.0
label_4,0.8541874376869392,0.9202236465293877,0.8602753697093319,0.989152741131633,3411.0
label_5,0.8506979062811565,0.9189335498714305,0.8534439416792358,0.9953092934623278,3411.0
label_6,0.8506979062811565,0.9184923118791671,0.8570340274250888,0.9894459102902374,3411.0
label_7,0.8477068793619142,0.915549412577747,0.8661087866108786,0.9709762532981531,3411.0
label_8,0.8531904287138584,0.9194144205773703,0.8619805028219599,0.9850483729111698,3411.0
label_9,0.8506979062811565,0.918292183876688,0.8586734693877551,0.9868073878627969,3411.0
label_10,0.8544366899302094,0.9201094391244871,0.8625288535521929,0.9859278803869833,3411.0
label_11,0.8524426719840479,0.9193680196131844,0.8585601628084457,0.9894459102902374,3411.0
label_12,0.8511964107676969,0.9185872085094776,0.858745537990821,0.9873937261800059,3411.0
label_13,0.8519441674975075,0.9195121951219513,0.854875283446712,0.9947229551451188,3411.0
label_14,0.8531904287138584,0.9194584985642009,0.8616094310609944,0.9856347112283788,3411.0
label_15,0.8467098703888335,0.915533580552122,0.8612403100775193,0.9771328056288479,3411.0
label_16,0.8506979062811565,0.9183144688394926,0.8584905660377359,0.9871005570214013,3411.0
label_17,0.8546859421734796,0.9199945107726087,0.8648090815273478,0.9827030196423336,3411.0
label_18,0.8514456630109671,0.9191096634093376,0.8556987616881476,0.9926707710348871,3411.0
label_19,0.8509471585244267,0.9177893868572999,0.8640952627491587,0.9785986514218704,3411.0
label_20,0.8511964107676969,0.9182751540041068,0.8613251155624037,0.9832893579595426,3411.0
label_21,0.8554336989032901,0.9203734211971445,0.8654789568809709,0.9827030196423336,3411.0
label_22,0.8511964107676969,0.918720217835262,0.8576512455516014,0.989152741131633,3411.0
label_23,0.844715852442672,0.9132915796798886,0.8693693693693694,0.9618880093814131,3411.0
label_24,0.8457128614157527,0.9145617667356797,0.8641105894627021,0.9712694224567575,3411.0
label_25,0.8419740777666999,0.9121396895787139,0.8649145860709593,0.9648197009674582,3411.0
