Label_Column,Accuracy,F1,Precision,Recall,Support
label_1,0.8514007308160779,0.9189261031366294,0.85526966848095,0.9928202182653647,3482.0
label_2,0.8516443361753958,0.9191127639792801,0.8549542871262664,0.9936817920735209,3482.0
label_3,0.8514007308160779,0.9186883497733938,0.8572139303482587,0.9896611143021252,3482.0
label_4,0.8484774665042631,0.9170666666666668,0.8558984569437531,0.9876507754164273,3482.0
label_5,0.8521315468940317,0.9195493704440026,0.8538026089096726,0.9962665134979897,3482.0
label_6,0.8489646772228989,0.917509313464609,0.8547347545860189,0.9902354968408961,3482.0
label_7,0.8494518879415347,0.9168684422921712,0.8623481781376519,0.9787478460654796,3482.0
label_8,0.8514007308160779,0.9185145605129575,0.8586413586413586,0.987363584147042,3482.0
label_9,0.848721071863581,0.9172331067572971,0.8557572743098731,0.9882251579551982,3482.0
label_10,0.8545676004872107,0.9201978345141024,0.8607151787946987,0.9885123492245835,3482.0
label_11,0.8518879415347138,0.9189981348254729,0.8571073558648111,0.9905226881102814,3482.0
label_12,0.8499390986601705,0.9178666666666666,0.8566450970632156,0.9885123492245835,3482.0
label_13,0.8492082825822168,0.9179589131875414,0.852325867585528,0.9945433658816772,3482.0
label_14,0.8457978075517661,0.9148392304587649,0.8605416350291065,0.9764503159103963,3482.0
label_15,0.8484774665042631,0.9164652162234757,0.8607467204843592,0.9798966111430213,3482.0
label_16,0.8523751522533496,0.9191999999999999,0.8578894972623196,0.9899483055715106,3482.0
label_17,0.8514007308160779,0.9180768197690036,0.8622603430877901,0.9816197587593337,3482.0
label_18,0.8501827040194885,0.9180764619688291,0.8561490683229813,0.9896611143021252,3482.0
label_19,0.8479902557856273,0.9160161507402422,0.8619554204660588,0.9773118897185525,3482.0
label_20,0.8516443361753958,0.9185720016044926,0.8593945459094321,0.9865020103388857,3482.0
label_21,0.8477466504263094,0.9156659020375119,0.8635785187070502,0.9744399770246984,3482.0
label_22,0.8068209500609014,0.8896925858951175,0.8626922039384948,0.9184376794945434,3482.0
label_23,0.8482338611449451,0.9157994323557237,0.8649476640285934,0.9730040206777714,3482.0
label_24,0.8496954933008526,0.917458193979933,0.8587528174305034,0.9847788627225732,3482.0
label_25,0.8423873325213155,0.9122473891224739,0.8643022359290671,0.9658242389431362,3482.0
