,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative
Label_1,0.8469591226321037,0.1856763925729443,0.45751633986928103,0.11647254575707154,153,601,70,3328,83,531
Label_2,0.8457128614157527,0.19295958279009126,0.4457831325301205,0.12312811980033278,166,601,74,3319,92,527
Label_3,0.8449651046859422,0.19638242894056848,0.4393063583815029,0.1264559068219634,173,601,76,3314,97,525
Label_4,0.8497008973080757,0.19707057256990682,0.49333333333333335,0.12312811980033278,150,601,74,3335,76,527
Label_5,0.8494516450648056,0.12209302325581393,0.4827586206896552,0.06988352745424292,87,601,42,3366,45,559
Label_6,0.8472083748753739,0.17718120805369128,0.4583333333333333,0.10981697171381032,144,601,66,3333,78,535
Label_7,0.8429710867397806,0.1839378238341969,0.4152046783625731,0.11813643926788686,171,601,71,3311,100,530
Label_8,0.847457627118644,0.184,0.46308724832214765,0.11480865224625623,149,601,69,3331,80,532
Label_9,0.849950149551346,0.1473087818696884,0.49523809523809526,0.08652246256239601,105,601,52,3358,53,549
Label_10,0.8484546360917248,0.17391304347826086,0.4740740740740741,0.1064891846921797,135,601,64,3340,71,537
Label_11,0.844715852442672,0.17043941411451402,0.4266666666666667,0.1064891846921797,150,601,64,3325,86,537
Label_12,0.8482053838484547,0.1623108665749656,0.46825396825396826,0.09816971713810316,126,601,59,3344,67,542
Label_13,0.8424725822532403,0.10985915492957747,0.3577981651376147,0.064891846921797,109,601,39,3341,70,562
Label_14,0.8482053838484547,0.1976284584980237,0.47468354430379744,0.12479201331114809,158,601,75,3328,83,526
Label_15,0.8454636091724825,0.1553133514986376,0.42857142857142855,0.09484193011647254,133,601,57,3335,76,544
Label_16,0.8504486540378864,0.180327868852459,0.5038167938931297,0.10981697171381032,131,601,66,3346,65,535
Label_17,0.8511964107676969,0.20927152317880793,0.512987012987013,0.1314475873544093,154,601,79,3336,75,522
Label_18,0.8457128614157527,0.1691275167785235,0.4375,0.1048252911813644,144,601,63,3330,81,538
Label_19,0.8497008973080757,0.22593068035943517,0.4943820224719101,0.1464226289517471,178,601,88,3321,90,513
Label_20,0.8504486540378864,0.22879177377892035,0.5028248587570622,0.1480865224625624,177,601,89,3323,88,512
Label_21,0.8511964107676969,0.2546816479400749,0.51,0.16971713810316139,200,601,102,3313,98,499
Label_22,0.8419740777666999,0.15240641711229944,0.3877551020408163,0.09484193011647254,147,601,57,3321,90,544
Label_23,0.8464606181455633,0.2376237623762376,0.463768115942029,0.15973377703826955,207,601,96,3300,111,505
Label_24,0.8469591226321037,0.2227848101265823,0.4656084656084656,0.1464226289517471,189,601,88,3310,101,513
Label_25,0.8479561316051845,0.22588832487309649,0.47593582887700536,0.1480865224625624,187,601,89,3313,98,512
