,Accuracy,F1,Precision,Recall,Support,Detected_num,Total_Num,True_detected_num,True_Nonconv_num,Wrong_detected_num,Wrong_Nonconv_num
Label_5,0.8407335907335908,0.7795063125322801,0.7928346264532083,0.8407335907335908,4144.0,54,662,28,3456,26,634
Label_22,0.8361486486486487,0.7982775781905112,0.7925542341161715,0.8361486486486487,4144.0,207,662,95,3370,112,567
Label_10,0.8441119691119691,0.7896944637572456,0.8086811565259842,0.8441119691119691,4144.0,84,662,50,3448,34,612
Label_21,0.846042471042471,0.8088033751651802,0.8123717310830713,0.846042471042471,4144.0,194,662,109,3397,85,553
Label_1,0.8458011583011583,0.7945286066503037,0.8138389673927374,0.8458011583011583,4144.0,99,662,61,3444,38,601
