,Accuracy,F1,Precision,Recall, NVAJ_detected,NVAJ_total,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,Total_words
Label_1,0.8457978075517661,0.11961057023643949,0.4479166666666667,0.069020867,41,2269,96,623,43,3429,53,580,4105
Label_10,0.8484774665042631,0.17287234042553193,0.5038759689922481,0.1043338683788122,65,2269,129,623,65,3418,64,558,4105
Label_21,0.846041413,0.19387755102040816,0.4720496894409938,0.12199036918138041,73,2269,161,623,76,3397,85,547,4105
Label_22,0.8465286236297198,0.15775401069518719,0.472,0.09470305,58,2269,125,623,59,3416,66,564,4105
Label_5,0.8440925700365408,0.11111111111111112,0.41237113402061853,0.064205457,39,2269,97,623,40,3425,57,583,4105
