,Accuracy,F1,Precision,Recall, NVAJ_detected,NVAJ_total,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,Total_words
Label_1,0.843361754,0.093088858,0.38372093,0.052969502,28,2269,86,623,33,3429,53,590,4105
Label_10,0.84725944,0.169536424,0.484848485,0.102728732,64,2269,132,623,64,3414,68,559,4105
Label_21,0.848964677,0.201030928,0.509803922,0.125200642,75,2269,153,623,78,3407,75,545,4105
Label_22,0.846285018,0.143826323,0.464912281,0.085072231,52,2269,114,623,53,3421,61,570,4105
Label_5,0.847503045,0.073964497,0.471698113,0.040128411,24,2269,53,623,25,3454,28,598,4105
