,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
N,16.0,14.0,150.0,17.0,10.0,22.0,56.0,31.0,23.0,17.0,15.0,21.0,9.0,28.0,32.0,23.0,30.0,13.0,31.0,29.0,33.0,12.0,57.0,48.0,34.0
V,3.0,6.0,40.0,10.0,4.0,6.0,22.0,9.0,9.0,11.0,11.0,8.0,0.0,5.0,20.0,4.0,12.0,6.0,17.0,13.0,18.0,6.0,30.0,17.0,44.0
AJ,1.0,1.0,38.0,7.0,2.0,5.0,16.0,10.0,10.0,13.0,7.0,12.0,7.0,12.0,23.0,14.0,12.0,3.0,21.0,11.0,5.0,17.0,38.0,29.0,31.0
AV,1.0,4.0,15.0,5.0,0.0,4.0,9.0,2.0,4.0,5.0,4.0,4.0,2.0,3.0,4.0,4.0,6.0,5.0,8.0,4.0,7.0,4.0,12.0,6.0,15.0
PR,1.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,5.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0
CR,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
PN,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CJ,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
UN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
