,Accuracy,F1,Precision,Recall,Support, NVAJ_detected,NVAJ_total,Detected_num,Total_Num,True_detected_num,True_Nonconv_num,Wrong_detected_num,Wrong_Nonconv_num
Label_10,0.8383204633204633,0.7891103554606091,0.7889537034011898,0.8383204633204633,4144.0,58,2304,126,662,59,3415,67,603
Label_22,0.8409749034749034,0.7930498687783903,0.7972533719347991,0.8409749034749034,4144.0,65,2304,129,662,66,3419,63,596
Label_21,0.8429054054054054,0.802059430010197,0.8045940227640868,0.8429054054054054,4144.0,88,2304,173,662,92,3401,81,570
Label_5,0.8359073359073359,0.775981118590184,0.7684131217268183,0.8359073359073359,4144.0,25,2304,70,662,26,3438,44,636
Label_1,0.8347007722007722,0.7811517974281627,0.7739109626189766,0.8347007722007722,4144.0,40,2304,107,662,42,3417,65,620
