,Accuracy,F1,Precision,Recall,Support, NVAJ_detected,NVAJ_total,Detected_num,Total_Num,True_detected_num,True_Nonconv_num,Wrong_detected_num,Wrong_Nonconv_num
Label_10,0.834942084942085,0.7927527381609014,0.7865250195181012,0.834942084942085,4144.0,76,2304,178,662,78,3382,100,584
Label_22,0.8429054054054054,0.7930032268392444,0.8028325131629062,0.8429054054054054,4144.0,61,2304,113,662,62,3431,51,600
Label_21,0.8416988416988417,0.7989727332748593,0.801118690621453,0.8416988416988417,4144.0,81,2304,162,662,84,3404,78,578
Label_5,0.8397683397683398,0.7793426948123239,0.7872282139422199,0.8397683397683398,4144.0,28,2304,60,662,29,3451,31,633
Label_1,0.8412162162162162,0.782478494978495,0.7957762312225284,0.8412162162162162,4144.0,34,2304,66,662,35,3451,31,627
