,Accuracy,F1,Precision,Recall, NVAJ_detected,NVAJ_total,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,Total_words
Label_1,0.831805019,0.138442522,0.380952381,0.084592145,55,2304,147,662,56,3391,91,606,4144
Label_10,0.840492278,0.180916976,0.503448276,0.110271903,72,2304,145,662,73,3410,72,589,4144
Label_21,0.841216216,0.218527316,0.511111111,0.13897281,89,2304,180,662,92,3394,88,570,4144
Label_22,0.83976834,0.17617866,0.493055556,0.107250755,70,2304,144,662,71,3409,73,591,4144
Label_5,0.831563707,0.171021378,0.4,0.108761329,71,2304,180,662,72,3374,108,590,4144
