,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,Total_words
Label_1,0.8445797807551766,0.13550135501355015,0.43478260869565216,0.080256822,115,623,50,3417,65,573,4105
Label_10,0.8423873325213155,0.19023779724655818,0.4318181818181818,0.12199036918138041,176,623,76,3382,100,547,4105
Label_21,0.8438489646772229,0.2057001239157373,0.45108695652173914,0.1332263242375602,184,623,83,3381,101,540,4105
Label_22,0.8428745432399513,0.15019762845849802,0.41911764705882354,0.091492777,136,623,57,3403,79,566,4105
Label_5,0.848721072,0.077265973,0.52,0.041733547,50,623,26,3458,24,597,4105
