,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,Total_words
Label_1,0.856321839,0.087591241,0.5,0.048,12,125,6,739,6,119,870
Label_10,0.877011494,0.300653595,0.821428571,0.184,28,125,23,740,5,102,870
Label_21,0.881609195,0.335483871,0.866666667,0.208,30,125,26,741,4,99,870
Label_22,0.868965517,0.313253012,0.634146341,0.208,41,125,26,730,15,99,870
Label_5,0.855172414,0.073529412,0.454545455,0.04,11,125,5,739,6,120,870
