,Accuracy,F1,Precision,Recall,Support,Detected_num,Total_Num,True_detected_num,True_Nonconv_num,Wrong_detected_num,Wrong_Nonconv_num
Label_1,0.8586206896551724,0.8052931754974432,0.8224489057143388,0.8586206896551724,870,12,125,7,740,5,118
Label_10,0.8735632183908045,0.8387453298429081,0.8605069146617937,0.8735632183908045,870,30.333333333333332,125,22.666666666666668,737.3333333333334,7.666666666666667,102.33333333333333
Label_21,0.8758620689655173,0.838964609,0.8699620798143418,0.8758620689655173,870,26.333333333333332,125,21.666666666666668,740.3333333333334,4.666666666666667,103.33333333333333
Label_22,0.8689655172413793,0.8349602685891092,0.8485895423064482,0.8689655172413793,870,34.333333333333336,125,22.666666666666668,733.3333333333334,11.666666666666666,102.33333333333333
Label_5,0.8547892720306512,0.7981375887575287,0.7983836931576794,0.8547892720306512,870,10,125,4.333333333333333,739.3333333333334,5.666666666666667,120.66666666666667
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
