,Accuracy,F1,Precision,Recall, NVAJ_detected,NVAJ_total,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,Total_words
Label_1,0.84271214,0.101247556,0.395431323,0.058855003,34.66666667,2269,96,623,36.66666667,3422.666667,59.33333333,586.3333333,4105
Label_10,0.849045879,0.157771305,0.518685954,0.093097913,57.66666667,2269,112.6666667,623,58,3427.333333,54.66666667,565,4105
Label_21,0.847097036,0.19686173,0.485294266,0.123595506,74,2269,158.6666667,623,77,3400.333333,81.66666667,546,4105
Label_22,0.848883475,0.147487847,0.5186295,0.086142322,52.66666667,2269,104.6666667,623,53.66666667,3431,51,569.3333333,4105
Label_5,0.844904588,0.064525789,0.381766382,0.035313002,21,2269,57.66666667,623,22,3446.333333,35.66666667,601,4105
