,Accuracy,F1,Precision,Recall,Support,Detected_num,Total_Num,True_detected_num,True_Nonconv_num,Wrong_detected_num,Wrong_Nonconv_num
Label_1,0.8517255379618351,0.7950680926771216,0.821298172,0.8517255379618351,4105,54.333333333333336,623,34.333333333333336,3462,20,588.6666666666666
Label_10,0.8524563540397888,0.8058887334146854,0.8174108107636121,0.8524563540397888,4105,110,623,63.666666666666664,3435.6666666666665,46.333333333333336,559.3333333333334
Label_11,0.8513195290296386,0.7993877178970897,0.8146241009840081,0.8513195290296386,4105,80.66666666666667,623,46.666666666666664,3448,34,576.3333333333334
Label_12,0.8499390986601706,0.7993573777625341,0.8086809414731203,0.8499390986601706,4105,91,623,49,3440,42,574
Label_13,0.8492082825822168,0.7898132438531934,0.8061228449280579,0.8492082825822168,4105,45.333333333333336,623,24.666666666666668,3461.3333333333335,20.666666666666668,598.3333333333334
Label_14,0.8470970361347949,0.803230503,0.8034115008260123,0.8470970361347949,4105,137.33333333333334,623,66.33333333333333,3411,71,556.6666666666666
Label_15,0.846285018,0.8030283963996637,0.8009373006488957,0.846285018,4105,142.66666666666666,623,67.33333333333333,3406.6666666666665,75.33333333333333,555.6666666666666
Label_16,0.8505075111652456,0.7997110820724568,0.8111783694436842,0.8505075111652456,4105,88.66666666666667,623,49,3442.3333333333335,39.666666666666664,574
Label_17,0.8507511165245636,0.8076716010826711,0.8121702629369517,0.8507511165245636,4105,135.66666666666666,623,73,3419.3333333333335,62.666666666666664,550
Label_18,0.8496954933008526,0.7950970442896139,0.8075353344795668,0.8496954933008526,4105,69.33333333333333,623,37.666666666666664,3450.3333333333335,31.666666666666668,585.3333333333334
Label_19,0.8486398700771417,0.808172531,0.8081232130535626,0.8486398700771417,4105,157,623,79.33333333333333,3404.3333333333335,77.66666666666667,543.6666666666666
Label_2,0.8521315468940317,0.7979395399177568,0.8203500110024584,0.8521315468940317,4105,66.66666666666667,623,41.333333333333336,3456.6666666666665,25.333333333333332,581.6666666666666
Label_20,0.848477467,0.8067890627996319,0.809282363,0.848477467,4105,151.66666666666666,623,76.33333333333333,3406.6666666666665,75.33333333333333,546.6666666666666
Label_21,0.8510759236703208,0.8111585919340976,0.8144732442904119,0.8510759236703208,4105,156.33333333333334,623,84,3409.6666666666665,72.33333333333333,539
Label_22,0.8344295574502639,0.7958841097531129,0.7943485671881124,0.8344295574502639,4105,203.33333333333334,623,73.33333333333333,3352,130,549.6666666666666
Label_23,0.8457978075517661,0.8107879684489389,0.806013359,0.8457978075517661,4105,202.66666666666666,623,96.33333333333333,3375.6666666666665,106.33333333333333,526.6666666666666
Label_24,0.727568006,0.736353695,0.77667638,0.727568006,4105,834,623,169.33333333333334,2817.3333333333335,664.6666666666666,453.6666666666667
Label_25,0.8435241575314657,0.8092084093253794,0.8024053553641414,0.8435241575314657,4105,210.66666666666666,623,95.66666666666667,3367,115,527.3333333333334
Label_3,0.8373528217620788,0.7977090689153661,0.7990051360291023,0.8373528217620788,4105,187.33333333333334,623,71.33333333333333,3366,116,551.6666666666666
Label_4,0.8517255379618351,0.801625577,0.8154244683635049,0.8517255379618351,4105,90.33333333333333,623,52.333333333333336,3444,38,570.6666666666666
Label_5,0.8508323183110029,0.7908658148408683,0.8191789638196291,0.8508323183110029,4105,39.333333333333336,623,25,3467.6666666666665,14.333333333333334,598
Label_6,0.848721072,0.794296917,0.802968657,0.848721072,4105,72,623,37,3447,35,586
Label_7,0.848721072,0.8102770177023618,0.8096702085009938,0.848721072,4105,171.33333333333334,623,86.66666666666667,3397.3333333333335,84.66666666666667,536.3333333333334
Label_8,0.8497766950872919,0.8026339830416074,0.8089098502102506,0.8497766950872919,4105,111.66666666666667,623,59,3429.3333333333335,52.666666666666664,564
Label_9,0.8486398700771417,0.7984134865992907,0.8040108100356851,0.8486398700771417,4105,95.66666666666667,623,48.666666666666664,3435,47,574.3333333333334
