,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,Total_words
Label_1,0.835728786,0.142135597,0.424613283,0.090422686,164,623,56.33333333,3374.333333,107.6666667,566.6666667,4105
Label_10,0.836297199,0.176930334,0.373877666,0.116104869,193.6666667,623,72.33333333,3360.666667,121.3333333,550.6666667,4105
Label_21,0.845229395,0.192899634,0.463237616,0.121990369,164.3333333,623,76,3393.666667,88.33333333,547,4105
Label_22,0.846609825,0.15388417,0.475326059,0.092027822,121.3333333,623,57.33333333,3418,64,565.6666667,4105
Label_5,0.849857897,0.084197671,0.567029915,0.045478866,50,623,28.33333333,3460.333333,21.66666667,594.6666667,4105
