,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
PR,187,188,178,179,173,190,188,170,176,136,191,185,152,185,185,181,175,187,191,178,186,193,175,188,186
V,159,157,152,153,166,164,159,148,158,161,150,161,160,155,158,154,154,150,147,152,144,169,151,144,143
N,104,99,100,101,109,111,103,103,106,113,106,103,110,98,106,106,110,104,93,97,91,111,101,95,101
AJ,39,49,45,40,48,41,46,43,45,54,46,43,48,43,50,38,45,45,43,41,43,52,42,42,37
DT,26,26,26,26,26,26,26,26,26,24,26,26,25,26,26,26,26,26,26,26,26,24,26,26,26
AV,25,25,22,23,27,25,25,23,26,27,24,25,23,22,24,24,22,24,20,23,20,26,25,23,21
OR,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
