,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
PR,189,183,176,183,175,190,185,172,176,141,193,189,164,188,189,188,173,185,187,175,175,190,187,190,185
V,160,151,150,157,167,169,156,154,157,155,152,163,169,153,152,156,151,159,142,152,143,166,147,140,138
N,106,99,100,103,110,112,105,105,106,101,104,102,113,100,107,107,104,105,96,96,95,112,102,96,105
AJ,43,43,43,42,50,44,45,48,43,53,42,42,50,45,45,40,47,42,39,42,47,50,38,43,44
DT,26,26,25,25,25,25,26,26,26,23,26,26,24,26,26,26,26,26,26,26,24,26,26,26,26
AV,25,24,21,24,27,28,23,25,24,24,24,25,27,24,21,24,23,24,18,21,21,26,22,18,25
OR,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
