,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
PR,191,191,192,191,191,191,192,188,191,188,193,191,188,190,192,193,192,191,192,192,190,193,190,193,191
V,153,150,150,150,165,155,150,152,159,150,156,156,167,150,155,150,147,151,139,144,127,158,133,145,135
N,103,98,96,101,109,108,101,103,106,105,106,106,115,98,106,101,96,106,98,91,91,105,98,96,100
AJ,44,48,47,44,53,42,47,48,53,53,42,50,51,46,51,51,47,50,43,45,50,48,42,39,44
DT,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
AV,23,25,23,25,26,24,23,25,24,25,24,23,28,23,24,22,22,22,20,22,19,24,20,21,21
OR,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
