,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
PR,192,192,193,192,185,193,192,188,192,185,193,192,190,192,192,192,193,190,192,191,190,193,193,190,190
V,149,153,157,144,167,158,151,149,150,156,154,161,158,153,146,150,148,141,137,141,128,159,139,132,135
N,99,104,104,102,115,109,97,99,108,101,106,103,107,101,96,107,102,99,90,96,88,106,101,99,99
AJ,49,49,52,52,49,50,41,45,53,48,45,49,53,39,48,46,48,46,44,46,47,47,39,45,43
DT,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
AV,23,23,25,23,27,22,24,26,25,24,24,24,25,22,23,24,24,22,23,20,19,25,23,21,20
OR,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
