,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
PR,192,191,193,191,189,190,176,183,193,184,191,192,188,192,188,192,192,191,179,191,188,192,189,191,187
V,151,150,146,129,137,138,137,129,140,152,143,151,126,153,145,148,130,139,130,127,125,148,129,140,116
N,102,101,96,90,97,104,90,94,107,106,97,104,92,95,88,99,89,92,83,93,82,105,95,98,98
AJ,49,47,48,47,43,42,43,43,50,53,46,47,41,48,50,52,48,41,37,41,46,47,33,43,38
DT,26,26,26,26,26,26,23,26,26,26,26,26,26,26,26,26,26,26,21,26,25,25,26,26,26
AV,23,23,22,20,25,22,19,23,23,26,23,25,23,23,22,24,19,23,19,19,21,25,22,23,22
OR,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
CJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
