,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
PR,192,193,193,193,193,193,188,193,192,191,191,193,193,192,193,193,191,192,192,193,192,191,192,192,192
V,172,175,165,169,173,173,152,167,170,153,165,166,178,158,159,165,158,170,152,157,151,132,133,163,137
N,107,106,102,108,111,108,94,97,106,100,109,107,113,97,95,104,95,100,94,97,91,87,97,100,101
AJ,52,52,53,51,55,52,49,51,52,52,50,50,54,43,46,50,46,57,48,54,47,41,49,49,41
DT,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,25
AV,25,23,25,26,27,25,23,24,24,24,22,24,27,25,25,24,23,22,22,24,19,18,24,24,22
OR,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
