,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
PR,193,193,190,192,193,193,192,193,193,193,192,193,193,192,193,193,193,193,192,193,193,193,189,192,192
V,177,173,141,161,177,173,137,160,168,154,162,166,176,161,158,169,152,174,151,159,147,170,135,153,140
N,104,103,88,104,115,105,95,94,103,100,108,106,112,96,100,101,93,111,99,97,92,108,84,98,102
AJ,54,52,48,50,57,52,48,51,51,50,53,50,55,50,45,53,50,54,44,51,50,49,42,40,40
DT,26,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,25,26,25,25
AV,25,24,24,24,27,24,19,24,23,23,22,23,26,24,24,23,21,23,20,24,21,26,22,22,21
OR,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
