Prompt_Column,Accuracy,F1,Precision,Recall,Support
prompt_1,0.8498670654702559,0.19874164474510156,0.4976262426031159,0.12423738214087632,601
prompt_2,0.8568461282818212,0.2070787980995452,0.6089653043686848,0.12479201331114809,601
prompt_3,0.8527750083084081,0.22281014444320668,0.5330787253348501,0.14087631724902938,601
prompt_4,0.8558491193087404,0.30424392365489045,0.5521870531111777,0.21075984470327233,601
prompt_5,0.8563476237952808,0.24461960033053542,0.5762428011164894,0.1552967276760954,601
prompt_6,0.8544366899302093,0.19705845945529457,0.5673060636856369,0.1192457016084304,601
prompt_7,0.826354271,0.21892778648543887,0.4045604395604396,0.16472545757071547,601
prompt_8,0.8546859421734796,0.2709349544220456,0.5452747655717952,0.18025513,601
prompt_9,0.8556829511465603,0.1990098889216336,0.5929109496906108,0.11980033277870217,601
prompt_10,0.8570953805250913,0.17940035971346288,0.642081901,0.10427066001109263,601
prompt_11,0.8557660352276503,0.2385401113599602,0.5703423425131079,0.15085967831392125,601
prompt_12,0.8518610834164174,0.21614297343190417,0.5210596108499693,0.13643926788685523,601
prompt_13,0.8527750083084081,0.2773873334467251,0.5250637693528578,0.18857459789240152,601
prompt_14,0.8522765038218677,0.22408279934665162,0.5267470995519109,0.14254021075984472,601
prompt_15,0.8522765038218677,0.21602401726240736,0.5271467077396997,0.13588463671658346,601
prompt_16,0.8539381854436691,0.20291728552679653,0.5564259036948113,0.12423738214087632,601
prompt_17,0.8536058491193087,0.28320078700437384,0.5318415846268668,0.19301164725457567,601
prompt_18,0.8516949152542374,0.2895537551317054,0.5130790457829415,0.20188574597892397,601
prompt_19,0.8488700564971752,0.2626638116963862,0.4880118879794126,0.17970049916805322,601
prompt_20,0.8559322033898306,0.2856905244605546,0.555416244,0.19245701608430396,601
prompt_21,0.8543536058491193,0.2977031090766251,0.5358597622314564,0.20632279534109818,601
prompt_22,0.8511133266866069,0.20454539652536044,0.5116332963661144,0.1281198003327787,601
prompt_23,0.851445663,0.2671644795212857,0.5132851101998751,0.18080976150859676,601
prompt_24,0.8502824858757062,0.24677504531037484,0.5010862082544373,0.1641708264004437,601
prompt_25,0.8537720172814889,0.2784964692075608,0.5342482590482348,0.18857459789240152,601
